assembly_id,contig_id,contig_len,plasmid_id,plasmid_name,strain,query_length,ref_length,overall_percent_identity,query_covered_length,ref_covered_length,covered_intervals,query_intervals,subject_hit_coords,query_coverage_percent,call_method
B418P,contig_8 [gcode=11] [topology=linear],30658,RS01730_MM1_plsm_cp32-9_ParA_X,cp32-9,RS01730,30658,251,100.0,743,247,"[(1, 248)]","[(7587, 8330)]","[(1, 248)]",2.4235109922369364,pf32
B418P,contig_9 [gcode=11] [topology=linear],8722,gb|CP002231.1|,cp9,N40,8722,8722,100.0,8720,8720,"[(1, 7820), (7821, 8722)]","[(1, 902), (903, 8722)]","[(1, 7820), (7821, 8722)]",99.9770694794772,wp
B500P,contig_1 [gcode=11] [topology=linear],903660,B500_chromosome_ParA_2,chromosome,B500,903660,380,100.0,1091,363,"[(1, 364)]","[(368949, 370040)]","[(1, 364)]",0.12073124847841,pf32
B500P,contig_10 [gcode=11] [topology=linear],15547,RS00875_MM1_plsm_lp17_ParA_X,lp17,RS00875,15547,246,100.0,725,241,"[(1, 242)]","[(11989, 12714)]","[(1, 242)]",4.663279089213352,pf32
B500P,contig_11 [gcode=11] [topology=linear],24387,B379_chromosome_ParA_5,chromosome,B379,24387,262,100.0,785,261,"[(1, 262)]","[(2898, 3683)]","[(1, 262)]",3.21892811743962,pf32
B500P,contig_12 [gcode=11] [topology=linear],24206,RS00040_ZS7_ZS7_lp25_ParA_X,lp25,RS00040,24206,252,100.0,755,251,"[(1, 252)]","[(11901, 12656)]","[(1, 252)]",3.119061389738081,pf32
B500P,contig_13 [gcode=11] [topology=linear],27653,H28_B31_lp28-3_ParA_X,lp28-3,H28,27653,251,100.0,752,250,"[(1, 251)]","[(16713, 17465)]","[(1, 251)]",2.719415614942321,pf32
B500P,contig_14 [gcode=11] [topology=linear],28165,RS05930_ZS7_ZS7_lp28-4_ParA_X,lp28-4,RS05930,28165,250,100.0,749,249,"[(1, 250)]","[(14654, 15403)]","[(1, 250)]",2.6593289543759986,pf32
B500P,contig_15 [gcode=11] [topology=linear],29288,RS06425_B331_B331_lp28_6_ParA_X,lp28-6,RS06425,29288,251,100.0,752,250,"[(1, 251)]","[(22964, 23716)]","[(1, 251)]",2.567604479650369,pf32
B500P,contig_16 [gcode=11] [topology=linear],30208,RS01335_MM1_plsm_lp36_ParA_X,lp36,RS01335,30208,249,100.0,728,242,"[(1, 243)]","[(11179, 11907)]","[(1, 243)]",2.409957627118644,pf32
B500P,contig_17 [gcode=11] [topology=linear],38930,RS06690_B331_B331_lp38_ParA_X,lp38,RS06690,38930,245,100.0,734,244,"[(1, 245)]","[(11254, 11988)]","[(1, 245)]",1.88543539686617,pf32
B500P,contig_18 [gcode=11] [topology=linear],53758,A20_B31_lp54_ParA_X,lp54,A20,53758,250,100.0,749,249,"[(1, 250)]","[(39435, 40184)]","[(1, 250)]",1.3932810000372038,pf32
B500P,contig_19 [gcode=11] [topology=linear],27715,B500_lp56_ParA_1,lp56,B500,27715,253,100.0,746,248,"[(5, 253)]","[(23955, 24701)]","[(5, 253)]",2.6916832040411327,pf32
B500P,contig_2 [gcode=11] [topology=linear],26512,WI91-23_cp26_ParA_1,cp26,WI91-23,26512,253,100.0,758,252,"[(1, 253)]","[(19688, 20446)]","[(1, 253)]",2.85908267954134,pf32
B500P,contig_3 [gcode=11] [topology=linear],30189,RS04790_B331_B331_cp32_10_ParA_X,cp32-10,RS04790,30189,246,100.0,737,245,"[(1, 246)]","[(29082, 29819)]","[(1, 246)]",2.441286561330286,pf32
B500P,contig_4 [gcode=11] [topology=linear],30176,B500_cp32-11_ParA_1,cp32-11,B500,30176,252,100.0,755,251,"[(1, 252)]","[(23339, 24094)]","[(1, 252)]",2.5019883351007426,pf32
B500P,contig_5 [gcode=11] [topology=linear],29890,RS01500_JD1_JD1_cp32-8_ParA_X,cp32-8,RS01500,29890,246,100.0,731,243,"[(1, 244)]","[(13605, 14336)]","[(1, 244)]",2.4456339913014387,pf32
B500P,contig_6 [gcode=11] [topology=linear],30617,RS05205_B331_B331_cp32_4_ParA_X,cp32-4,RS05205,30617,251,100.0,752,250,"[(1, 251)]","[(13429, 14181)]","[(1, 251)]",2.456151811085345,pf32
B500P,contig_7 [gcode=11] [topology=linear],18340,B500_cp32-5_ParA_1,cp32-5,B500,18340,257,100.0,770,256,"[(1, 257)]","[(4597, 5367)]","[(1, 257)]",4.198473282442748,pf32
B500P,contig_8 [gcode=11] [topology=linear],30008,M32_B31_cp32-6_ParA_X,cp32-6,M32,30008,249,100.0,746,248,"[(1, 249)]","[(17287, 18033)]","[(1, 249)]",2.4860037323380437,pf32
B500P,contig_9 [gcode=11] [topology=linear],30054,O32_B31_cp32-7_ParA_X,cp32-7,O32,30054,249,100.0,746,248,"[(1, 249)]","[(18607, 19353)]","[(1, 249)]",2.482198708990484,pf32
ESI26H,contig_1 [gcode=11] [topology=linear],910396,NE_5261_chromosome_ParA_2,chromosome,NE_5261,910396,380,100.0,1097,365,"[(1, 366)]","[(368852, 369949)]","[(1, 366)]",0.1204970144860039,pf32
ESI26H,contig_10 [gcode=11] [topology=linear],24163,RS00875_MM1_plsm_lp17_ParA_X,lp17,RS00875,24163,246,100.0,725,241,"[(1, 242)]","[(18524, 19249)]","[(1, 242)]",3.000455241484915,pf32
ESI26H,contig_11 [gcode=11] [topology=linear],18933,N32_B31_cp32-9_ParA_X,cp32-9,N32,18933,251,100.0,743,247,"[(1, 248)]","[(14279, 15022)]","[(1, 248)]",3.92436486557862,pf32
ESI26H,contig_12 [gcode=11] [topology=linear],11699,P32_B31_cp32-1_ParA_X,cp32-1,P32,11699,246,100.0,737,245,"[(1, 246)]","[(6785, 7522)]","[(1, 246)]",6.299683733652449,pf32
ESI26H,contig_13 [gcode=11] [topology=linear],3042,gb|CP124099.1|,lp54,NE_5261,3042,53730,100.0,3040,1520,"[(1, 1521)]","[(1522, 3042), (1, 1521)]","[(1, 1521), (1521, 1)]",99.93425378040762,wp
ESI26H,contig_14 [gcode=11] [topology=linear],2402,gb|CP001572.1|,cp32-5,Bol26,2402,30186,99.7502081598668,2401,2401,"[(1206, 3607)]","[(1, 2402)]","[(3607, 1206)]",99.95836802664446,wp
ESI26H,contig_15 [gcode=11] [topology=linear],1297,gb|CP019921.1|,cp32-9-4,PAbe,1297,62238,98.96519285042334,1890,3186,"[(60256, 61552), (29950, 31246), (1, 595)]","[(703, 1297), (1, 1297)]","[(60256, 61552), (29950, 31246), (1, 595)]",145.72089437162683,wp
ESI26H,contig_16 [gcode=11] [topology=linear],1254,gb|CP001570.1|,cp32-9,Bol26,1254,30597,99.601593625498,1253,1253,"[(14170, 15423)]","[(1, 1254)]","[(14170, 15423)]",99.92025518341308,wp
ESI26H,contig_17 [gcode=11] [topology=linear],1083,gb|CP001572.1|,cp32-5,Bol26,1083,30186,100.0,1082,1082,"[(14450, 15532)]","[(1, 1083)]","[(14450, 15532)]",99.90766389658356,wp
ESI26H,contig_18 [gcode=11] [topology=linear],1081,gb|AE001576.1|,cp32-3,B31,1081,30223,99.72247918593897,1080,1080,"[(5412, 6492)]","[(1, 1081)]","[(5412, 6492)]",99.90749306197964,wp
ESI26H,contig_19 [gcode=11] [topology=linear],1044,gb|CP001570.1|,cp32-9,Bol26,1044,30597,99.90421455938696,1043,1043,"[(8062, 9105)]","[(1, 1044)]","[(9105, 8062)]",99.90421455938696,wp
ESI26H,contig_2 [gcode=11] [topology=linear],61321,RS01295_JD1_JD1_cp32-1+5_ParA_X,cp32-1+5,RS01295,61321,257,100.0,770,256,"[(1, 257)]","[(18558, 19328)]","[(1, 257)]",1.255687284943168,pf32
ESI26H,contig_20 [gcode=11] [topology=linear],850,gb|CP001211.1|,cp32-9,ZS7,850,30467,100.0,849,849,"[(7094, 7943)]","[(1, 850)]","[(7943, 7094)]",99.88235294117646,wp
ESI26H,contig_21 [gcode=11] [topology=linear],800,gb|CP001206.1|,cp32-1,ZS7,800,30330,99.25,799,799,"[(28427, 29226)]","[(1, 800)]","[(28427, 29226)]",99.875,wp
ESI26H,contig_22 [gcode=11] [topology=linear],644,gb|CP001572.1|,cp32-5,Bol26,644,30186,100.0,643,643,"[(13806, 14449)]","[(1, 644)]","[(13806, 14449)]",99.8447204968944,wp
ESI26H,contig_23 [gcode=11] [topology=linear],627,gb|CP001565.1|,cp32-12,Bol26,627,31433,99.84051036682617,626,626,"[(11955, 12581)]","[(1, 627)]","[(11955, 12581)]",99.84051036682617,wp
ESI26H,contig_24 [gcode=11] [topology=linear],613,gb|CP001572.1|,cp32-5,Bol26,613,30186,100.0,612,612,"[(4100, 4712)]","[(1, 613)]","[(4712, 4100)]",99.836867862969,wp
ESI26H,contig_25 [gcode=11] [topology=linear],573,gb|CP001570.1|,cp32-9,Bol26,573,30597,100.0,572,572,"[(9106, 9678)]","[(1, 573)]","[(9678, 9106)]",99.82547993019196,wp
ESI26H,contig_26 [gcode=11] [topology=linear],508,gb|CP001572.1|,cp32-5,Bol26,508,30186,99.80276134122288,506,506,"[(7081, 7587)]","[(2, 508)]","[(7587, 7081)]",99.60629921259844,wp
ESI26H,contig_27 [gcode=11] [topology=linear],495,gb|AE001576.1|,cp32-3,B31,495,30223,100.0,494,494,"[(711, 1205)]","[(1, 495)]","[(1205, 711)]",99.7979797979798,wp
ESI26H,contig_28 [gcode=11] [topology=linear],455,gb|CP001211.1|,cp32-9,ZS7,455,30467,100.0,454,454,"[(10480, 10934)]","[(1, 455)]","[(10934, 10480)]",99.78021978021978,wp
ESI26H,contig_29 [gcode=11] [topology=linear],455,gb|CP001572.1|,cp32-5,Bol26,455,30186,100.0,454,454,"[(10356, 10810)]","[(1, 455)]","[(10356, 10810)]",99.78021978021978,wp
ESI26H,contig_3 [gcode=11] [topology=linear],51152,RS05395_Bol26_Bol26_lp28-9_ParA_X,lp28-9,RS05395,51152,254,100.0,761,253,"[(1, 254)]","[(35231, 35992)]","[(1, 254)]",1.487722865186112,pf32
ESI26H,contig_30 [gcode=11] [topology=linear],445,gb|AE001580.1|,cp32-8,B31,445,30885,100.0,444,444,"[(10899, 11343)]","[(1, 445)]","[(10899, 11343)]",99.7752808988764,wp
ESI26H,contig_31 [gcode=11] [topology=linear],444,gb|CP001208.1|,cp32-4,ZS7,444,30964,99.09909909909908,443,443,"[(12698, 13141)]","[(1, 444)]","[(13141, 12698)]",99.77477477477478,wp
ESI26H,contig_32 [gcode=11] [topology=linear],424,gb|CP001570.1|,cp32-9,Bol26,424,30597,100.0,423,423,"[(13262, 13685)]","[(1, 424)]","[(13685, 13262)]",99.76415094339622,wp
ESI26H,contig_33 [gcode=11] [topology=linear],399,gb|CP001570.1|,cp32-9,Bol26,399,30597,100.0,398,398,"[(16454, 16852)]","[(1, 399)]","[(16852, 16454)]",99.74937343358395,wp
ESI26H,contig_35 [gcode=11] [topology=linear],376,gb|AE001577.1|,cp32-4,B31,376,30299,100.0,375,375,"[(15577, 15952)]","[(1, 376)]","[(15952, 15577)]",99.7340425531915,wp
ESI26H,contig_37 [gcode=11] [topology=linear],340,gb|AE001584.1|,lp56,B31,340,52971,100.0,339,339,"[(11059, 11398)]","[(1, 340)]","[(11059, 11398)]",99.70588235294116,wp
ESI26H,contig_38 [gcode=11] [topology=linear],308,gb|AE001576.1|,cp32-3,B31,308,30223,100.0,307,307,"[(4868, 5175)]","[(1, 308)]","[(4868, 5175)]",99.67532467532467,wp
ESI26H,contig_39 [gcode=11] [topology=linear],300,gb|CP001270.1|,cp32-11,156a,300,30439,99.33333333333331,299,299,"[(16060, 16359)]","[(1, 300)]","[(16359, 16060)]",99.66666666666669,wp
ESI26H,contig_4 [gcode=11] [topology=linear],34728,K21_B31_lp36_ParA_X,lp36,K21,34728,249,100.0,728,242,"[(1, 243)]","[(22554, 23282)]","[(1, 243)]",2.0962911771481227,pf32
ESI26H,contig_40 [gcode=11] [topology=linear],297,gb|CP001570.1|,cp32-9,Bol26,297,30597,100.0,296,296,"[(9823, 10119)]","[(1, 297)]","[(10119, 9823)]",99.66329966329968,wp
ESI26H,contig_41 [gcode=11] [topology=linear],297,gb|CP001570.1|,cp32-9,Bol26,297,30597,100.0,296,296,"[(10183, 10479)]","[(1, 297)]","[(10479, 10183)]",99.66329966329968,wp
ESI26H,contig_42 [gcode=11] [topology=linear],296,gb|CP001565.1|,cp32-12,Bol26,296,31433,100.0,295,295,"[(11255, 11550)]","[(1, 296)]","[(11255, 11550)]",99.66216216216216,wp
ESI26H,contig_43 [gcode=11] [topology=linear],262,gb|CP001572.1|,cp32-5,Bol26,262,30186,100.0,261,261,"[(3608, 3869)]","[(1, 262)]","[(3608, 3869)]",99.61832061068702,wp
ESI26H,contig_44 [gcode=11] [topology=linear],260,gb|AE001581.1|,cp32-9,B31,260,30651,100.0,259,259,"[(6723, 6982)]","[(1, 260)]","[(6723, 6982)]",99.6153846153846,wp
ESI26H,contig_45 [gcode=11] [topology=linear],258,gb|AE001581.1|,cp32-9,B31,258,30651,100.0,257,257,"[(29692, 29949)]","[(1, 258)]","[(29949, 29692)]",99.6124031007752,wp
ESI26H,contig_46 [gcode=11] [topology=linear],253,gb|CP001202.1|,cp32-3+10,ZS7,253,48168,100.0,252,252,"[(3844, 4096)]","[(1, 253)]","[(4096, 3844)]",99.60474308300395,wp
ESI26H,contig_5 [gcode=11] [topology=linear],30286,RS01520_MM1_plsm_cp32-6_ParA_X,cp32-6,RS01520,30286,249,100.0,746,248,"[(1, 249)]","[(5090, 5836)]","[(1, 249)]",2.463184309581985,pf32
ESI26H,contig_6 [gcode=11] [topology=linear],27753,RS01095_ZS7_ZS7_cp32-3+10_ParA_X,cp32-3+10,RS01095,27753,251,100.0,752,250,"[(1, 251)]","[(23067, 23819)]","[(1, 251)]",2.7096169783446835,pf32
ESI26H,contig_7 [gcode=11] [topology=linear],26979,RS06760_Bol26_Bol26_lp28-3_ParA_X,lp28-3,RS06760,26979,251,98.79032258064515,743,247,"[(1, 248)]","[(15942, 16685)]","[(1, 248)]",2.7539938470662366,pf32
ESI26H,contig_8 [gcode=11] [topology=linear],26691,RS05930_ZS7_ZS7_lp28-4_ParA_X,lp28-4,RS05930,26691,250,100.0,749,249,"[(1, 250)]","[(12526, 13275)]","[(1, 250)]",2.8061893522161028,pf32
