Isolate,plasmid,presence,color
UCT35H,cp32-1,cp32-1,#ff28fd
UCT92H,cp32-1,cp32-1,#ff28fd
UCT96H,cp32-1,cp32-1,#ff28fd
UNY1083P,cp32-1,cp32-1,#ff28fd
UNY1090P,cp32-1,cp32-1,#ff28fd
UNY1128P,cp32-1,cp32-1,#ff28fd
UNY203P,cp32-1,cp32-1,#ff28fd
UNY208P,cp32-1,cp32-1,#ff28fd
URI120H,cp32-1,cp32-1,#ff28fd
URI88H,cp32-1,cp32-1,#ff28fd
URI89H,cp32-1,cp32-1,#ff28fd
URI91H,cp32-1,cp32-1,#ff28fd
UWI247P,cp32-1,cp32-1,#ff28fd
UWI248P,cp32-1,cp32-1,#ff28fd
UWI283P,cp32-1,cp32-1,#ff28fd
ASM2466217v1,cp32-2,cp32-2,#f2cdff
ASM4079071v1,cp32-2,cp32-2,#f2cdff
ASM4079073v1,cp32-2,cp32-2,#f2cdff
ASM4079079v1,cp32-2,cp32-2,#f2cdff
UCT110H,cp32-2,cp32-2,#f2cdff
UCT113H,cp32-2,cp32-2,#f2cdff
UCT30H,cp32-2,cp32-2,#f2cdff
UCT32H,cp32-2,cp32-2,#f2cdff
UCT92H,cp32-2,cp32-2,#f2cdff
UNY1038P,cp32-2,cp32-2,#f2cdff
UNY1090P,cp32-2,cp32-2,#f2cdff
UNY149P,cp32-2,cp32-2,#f2cdff
UNY208P,cp32-2,cp32-2,#f2cdff
URI102H,cp32-2,cp32-2,#f2cdff
URI103H,cp32-2,cp32-2,#f2cdff
URI112H,cp32-2,cp32-2,#f2cdff
URI117H,cp32-2,cp32-2,#f2cdff
URI118H,cp32-2,cp32-2,#f2cdff
URI34H,cp32-2,cp32-2,#f2cdff
URI44H,cp32-2,cp32-2,#f2cdff
URI46H,cp32-2,cp32-2,#f2cdff
URI47H,cp32-2,cp32-2,#f2cdff
URI86H,cp32-2,cp32-2,#f2cdff
URI87H,cp32-2,cp32-2,#f2cdff
URI88H,cp32-2,cp32-2,#f2cdff
UWI247P,cp32-2,cp32-2,#f2cdff
UWI248P,cp32-2,cp32-2,#f2cdff
ASM2466217v1,lp28-5,lp28-5,#009e7c
ASM4079071v1,lp28-5,lp28-5,#009e7c
ASM4079073v1,lp28-5,lp28-5,#009e7c
ASM4079079v1,lp28-5,lp28-5,#009e7c
ESI425H,lp28-5,lp28-5,#009e7c
UCT110H,lp28-5,lp28-5,#009e7c
UCT113H,lp28-5,lp28-5,#009e7c
UCT124H,lp28-5,lp28-5,#009e7c
UCT32H,lp28-5,lp28-5,#009e7c
UCT92H,lp28-5,lp28-5,#009e7c
UCT96H,lp28-5,lp28-5,#009e7c
UNY1038P,lp28-5,lp28-5,#009e7c
UNY1083P,lp28-5,lp28-5,#009e7c
UNY1085P,lp28-5,lp28-5,#009e7c
UNY1128P,lp28-5,lp28-5,#009e7c
UNY149P,lp28-5,lp28-5,#009e7c
URI101H,lp28-5,lp28-5,#009e7c
URI117H,lp28-5,lp28-5,#009e7c
URI118H,lp28-5,lp28-5,#009e7c
URI34H,lp28-5,lp28-5,#009e7c
URI36H,lp28-5,lp28-5,#009e7c
URI44H,lp28-5,lp28-5,#009e7c
UWI247P,lp28-5,lp28-5,#009e7c
UWI248P,lp28-5,lp28-5,#009e7c
UWI263P,lp28-5,lp28-5,#009e7c
UWI283P,lp28-5,lp28-5,#009e7c
ASM2466215v1,cp32-5,cp32-5,#ff6200
B331P,cp32-5,cp32-5,#ff6200
B500P,cp32-5,cp32-5,#ff6200
ESI26H,cp32-5,cp32-5,#ff6200
UCT109H,cp32-5,cp32-5,#ff6200
UCT110H,cp32-5,cp32-5,#ff6200
UCT30H,cp32-5,cp32-5,#ff6200
UCT32H,cp32-5,cp32-5,#ff6200
UCT35H,cp32-5,cp32-5,#ff6200
UNY1032P,cp32-5,cp32-5,#ff6200
UNY203P,cp32-5,cp32-5,#ff6200
URI101H,cp32-5,cp32-5,#ff6200
URI102H,cp32-5,cp32-5,#ff6200
URI107H,cp32-5,cp32-5,#ff6200
URI117H,cp32-5,cp32-5,#ff6200
URI118H,cp32-5,cp32-5,#ff6200
URI120H,cp32-5,cp32-5,#ff6200
URI36H,cp32-5,cp32-5,#ff6200
URI44H,cp32-5,cp32-5,#ff6200
URI46H,cp32-5,cp32-5,#ff6200
URI56H,cp32-5,cp32-5,#ff6200
URI86H,cp32-5,cp32-5,#ff6200
URI87H,cp32-5,cp32-5,#ff6200
URI93H,cp32-5,cp32-5,#ff6200
ASM2466219v1,cp9,cp9,#56642a
ASM336729v1,cp9,cp9,#56642a
ASM4079074v1,cp9,cp9,#56642a
ASM4079076v1,cp9,cp9,#56642a
ASM4079078v1,cp9,cp9,#56642a
B331P,cp9,cp9,#56642a
B418P,cp9,cp9,#56642a
ESI403H,cp9,cp9,#56642a
UCT124H,cp9,cp9,#56642a
UCT29H,cp9,cp9,#56642a
UCT31H,cp9,cp9,#56642a
UCT35H,cp9,cp9,#56642a
UCT50H,cp9,cp9,#56642a
UNY1038P,cp9,cp9,#56642a
UNY1128P,cp9,cp9,#56642a
UNY169P,cp9,cp9,#56642a
UNY193P,cp9,cp9,#56642a
UNY203P,cp9,cp9,#56642a
URI34H,cp9,cp9,#56642a
URI36H,cp9,cp9,#56642a
URI47H,cp9,cp9,#56642a
UWI263P,cp9,cp9,#56642a
ASM2466215v1,cp32-10,cp32-10,#953f1f
ASM4079074v1,cp32-10,cp32-10,#953f1f
ASM4079075v1,cp32-10,cp32-10,#953f1f
ASM4079076v1,cp32-10,cp32-10,#953f1f
ASM4079078v1,cp32-10,cp32-10,#953f1f
B331P,cp32-10,cp32-10,#953f1f
B418P,cp32-10,cp32-10,#953f1f
B500P,cp32-10,cp32-10,#953f1f
UCT35H,cp32-10,cp32-10,#953f1f
UCT50H,cp32-10,cp32-10,#953f1f
UNY1083P,cp32-10,cp32-10,#953f1f
UNY169P,cp32-10,cp32-10,#953f1f
UNY193P,cp32-10,cp32-10,#953f1f
UNY203P,cp32-10,cp32-10,#953f1f
URI34H,cp32-10,cp32-10,#953f1f
URI36H,cp32-10,cp32-10,#953f1f
URI40H,cp32-10,cp32-10,#953f1f
URI56H,cp32-10,cp32-10,#953f1f
UWI248P,cp32-10,cp32-10,#953f1f
ASM4079071v1,lp21-cp9,lp21-cp9,#90318e
B500P,lp21-cp9,lp21-cp9,#90318e
UCT29H,lp21-cp9,lp21-cp9,#90318e
UCT30H,lp21-cp9,lp21-cp9,#90318e
UCT31H,lp21-cp9,lp21-cp9,#90318e
URI101H,lp21-cp9,lp21-cp9,#90318e
URI111H,lp21-cp9,lp21-cp9,#90318e
URI120H,lp21-cp9,lp21-cp9,#90318e
URI33H,lp21-cp9,lp21-cp9,#90318e
URI39H,lp21-cp9,lp21-cp9,#90318e
URI41H,lp21-cp9,lp21-cp9,#90318e
URI56H,lp21-cp9,lp21-cp9,#90318e
URI88H,lp21-cp9,lp21-cp9,#90318e
URI89H,lp21-cp9,lp21-cp9,#90318e
URI93H,lp21-cp9,lp21-cp9,#90318e
ASM4079073v1,lp28-7,lp28-7,#ff3464
PFhe_I_PB_Ill_cons,lp28-7,lp28-7,#ff3464
UNY193P,lp28-7,lp28-7,#ff3464
UNY990P,lp28-7,lp28-7,#ff3464
URI33H,lp28-7,lp28-7,#ff3464
URI34H,lp28-7,lp28-7,#ff3464
URI48H,lp28-7,lp28-7,#ff3464
ASM1913465v1,lp28-8,lp28-8,#a0e491
ASM336729v1,lp28-8,lp28-8,#a0e491
ASM4079076v1,lp28-8,lp28-8,#a0e491
ASM4079078v1,lp28-8,lp28-8,#a0e491
ESI425H,lp28-8,lp28-8,#a0e491
UNY990P,lp28-8,lp28-8,#a0e491
URI33H,lp28-8,lp28-8,#a0e491
ASM2466219v1,lp21,lp21,#8c9ab1
ASM4079077v1,lp21,lp21,#8c9ab1
UCT110H,lp21,lp21,#8c9ab1
URI36H,lp21,lp21,#8c9ab1
URI56H,lp21,lp21,#8c9ab1
URI91H,lp21,lp21,#8c9ab1
ASM4079075v1,lp5,lp5,#829026
ASM4079076v1,lp5,lp5,#829026
UCT35H,lp5,lp5,#829026
UNY193P,lp5,lp5,#829026
UNY203P,lp5,lp5,#829026
URI34H,lp5,lp5,#829026
ASM4079075v1,cp32-13,cp32-13,#ae083f
ASM4079076v1,cp32-13,cp32-13,#ae083f
UCT35H,cp32-13,cp32-13,#ae083f
UCT50H,cp32-13,cp32-13,#ae083f
UNY193P,cp32-13,cp32-13,#ae083f
URI34H,cp32-13,cp32-13,#ae083f
ASM4079075v1,cp9-3,cp9-3,#77c6ba
UNY990P,cp9-3,cp9-3,#77c6ba
URI40H,cp9-3,cp9-3,#77c6ba
URI48H,cp9-3,cp9-3,#77c6ba
ESI26H,cp32-9-4,cp32-9-4,#bc9157
URI40H,cp32-9-4,cp32-9-4,#bc9157
URI42H,cp32-9-4,cp32-9-4,#bc9157
ESI26H,lp28-9,lp28-9,#e48eff
PFhe_I_PB_Ill_cons,lp28-9,lp28-9,#e48eff
ESI26H,cp32-3+10,cp32-3+10,#72b8ff
PFhe_I_PB_Ill_cons,cp32-3+10,cp32-3+10,#72b8ff
URI88H,lp28-11,lp28-11,#c6a5c1
UCT35H,lp32-3,lp32-3,#ff9070
