Isolate,plasmid,presence,color
ASM4079079v1,lp36,lp36,#05acc6
ASM4079080v1,lp36,lp36,#05acc6
B331P,lp36,lp36,#05acc6
B418P,lp36,lp36,#05acc6
B500P,lp36,lp36,#05acc6
ESI26H,lp36,lp36,#05acc6
ESI361H,lp36,lp36,#05acc6
ESI403H,lp36,lp36,#05acc6
ESI425H,lp36,lp36,#05acc6
PFhe_I_PB_Ill_cons,lp36,lp36,#05acc6
UCT109H,lp36,lp36,#05acc6
UCT110H,lp36,lp36,#05acc6
UCT113H,lp36,lp36,#05acc6
UCT124H,lp36,lp36,#05acc6
UCT30H,lp36,lp36,#05acc6
UCT31H,lp36,lp36,#05acc6
UCT50H,lp36,lp36,#05acc6
UCT92H,lp36,lp36,#05acc6
UCT96H,lp36,lp36,#05acc6
UNY1032P,lp36,lp36,#05acc6
UNY1038P,lp36,lp36,#05acc6
UNY1083P,lp36,lp36,#05acc6
UNY1085P,lp36,lp36,#05acc6
UNY1090P,lp36,lp36,#05acc6
UNY149P,lp36,lp36,#05acc6
UNY169P,lp36,lp36,#05acc6
UNY172P,lp36,lp36,#05acc6
UNY193P,lp36,lp36,#05acc6
UNY203P,lp36,lp36,#05acc6
UNY208P,lp36,lp36,#05acc6
UNY990P,lp36,lp36,#05acc6
URI101H,lp36,lp36,#05acc6
URI102H,lp36,lp36,#05acc6
URI107H,lp36,lp36,#05acc6
URI111H,lp36,lp36,#05acc6
URI117H,lp36,lp36,#05acc6
URI118H,lp36,lp36,#05acc6
URI120H,lp36,lp36,#05acc6
URI33H,lp36,lp36,#05acc6
URI34H,lp36,lp36,#05acc6
URI36H,lp36,lp36,#05acc6
URI39H,lp36,lp36,#05acc6
URI40H,lp36,lp36,#05acc6
URI41H,lp36,lp36,#05acc6
URI42H,lp36,lp36,#05acc6
URI44H,lp36,lp36,#05acc6
URI46H,lp36,lp36,#05acc6
URI47H,lp36,lp36,#05acc6
URI48H,lp36,lp36,#05acc6
URI56H,lp36,lp36,#05acc6
URI86H,lp36,lp36,#05acc6
URI87H,lp36,lp36,#05acc6
URI89H,lp36,lp36,#05acc6
URI91H,lp36,lp36,#05acc6
URI93H,lp36,lp36,#05acc6
UWI247P,lp36,lp36,#05acc6
UWI248P,lp36,lp36,#05acc6
UWI263P,lp36,lp36,#05acc6
UWI283P,lp36,lp36,#05acc6
XYZ459H,lp36,lp36,#05acc6
ASM2466215v1,lp28-3,lp28-3,#97ff00
ASM2466217v1,lp28-3,lp28-3,#97ff00
ASM2466219v1,lp28-3,lp28-3,#97ff00
ASM336729v1,lp28-3,lp28-3,#97ff00
ASM4079071v1,lp28-3,lp28-3,#97ff00
ASM4079073v1,lp28-3,lp28-3,#97ff00
ASM4079074v1,lp28-3,lp28-3,#97ff00
ASM4079076v1,lp28-3,lp28-3,#97ff00
ASM4079077v1,lp28-3,lp28-3,#97ff00
ASM4079078v1,lp28-3,lp28-3,#97ff00
ASM4079079v1,lp28-3,lp28-3,#97ff00
ASM4079080v1,lp28-3,lp28-3,#97ff00
B331P,lp28-3,lp28-3,#97ff00
B418P,lp28-3,lp28-3,#97ff00
B500P,lp28-3,lp28-3,#97ff00
ESI26H,lp28-3,lp28-3,#97ff00
PFhe_I_PB_Ill_cons,lp28-3,lp28-3,#97ff00
UCT109H,lp28-3,lp28-3,#97ff00
UCT110H,lp28-3,lp28-3,#97ff00
UCT113H,lp28-3,lp28-3,#97ff00
UCT124H,lp28-3,lp28-3,#97ff00
UCT29H,lp28-3,lp28-3,#97ff00
UCT30H,lp28-3,lp28-3,#97ff00
UCT31H,lp28-3,lp28-3,#97ff00
UCT32H,lp28-3,lp28-3,#97ff00
UCT35H,lp28-3,lp28-3,#97ff00
UCT92H,lp28-3,lp28-3,#97ff00
UCT96H,lp28-3,lp28-3,#97ff00
UNY1032P,lp28-3,lp28-3,#97ff00
UNY1038P,lp28-3,lp28-3,#97ff00
UNY1083P,lp28-3,lp28-3,#97ff00
UNY1085P,lp28-3,lp28-3,#97ff00
UNY1090P,lp28-3,lp28-3,#97ff00
UNY1128P,lp28-3,lp28-3,#97ff00
UNY149P,lp28-3,lp28-3,#97ff00
UNY169P,lp28-3,lp28-3,#97ff00
UNY172P,lp28-3,lp28-3,#97ff00
UNY193P,lp28-3,lp28-3,#97ff00
UNY203P,lp28-3,lp28-3,#97ff00
UNY208P,lp28-3,lp28-3,#97ff00
UNY990P,lp28-3,lp28-3,#97ff00
URI101H,lp28-3,lp28-3,#97ff00
URI102H,lp28-3,lp28-3,#97ff00
URI103H,lp28-3,lp28-3,#97ff00
URI107H,lp28-3,lp28-3,#97ff00
URI111H,lp28-3,lp28-3,#97ff00
URI117H,lp28-3,lp28-3,#97ff00
URI118H,lp28-3,lp28-3,#97ff00
URI120H,lp28-3,lp28-3,#97ff00
URI33H,lp28-3,lp28-3,#97ff00
URI34H,lp28-3,lp28-3,#97ff00
URI36H,lp28-3,lp28-3,#97ff00
URI39H,lp28-3,lp28-3,#97ff00
URI40H,lp28-3,lp28-3,#97ff00
URI41H,lp28-3,lp28-3,#97ff00
URI42H,lp28-3,lp28-3,#97ff00
URI44H,lp28-3,lp28-3,#97ff00
URI46H,lp28-3,lp28-3,#97ff00
URI47H,lp28-3,lp28-3,#97ff00
URI48H,lp28-3,lp28-3,#97ff00
URI56H,lp28-3,lp28-3,#97ff00
URI86H,lp28-3,lp28-3,#97ff00
URI87H,lp28-3,lp28-3,#97ff00
URI88H,lp28-3,lp28-3,#97ff00
URI89H,lp28-3,lp28-3,#97ff00
URI91H,lp28-3,lp28-3,#97ff00
UWI247P,lp28-3,lp28-3,#97ff00
UWI248P,lp28-3,lp28-3,#97ff00
UWI263P,lp28-3,lp28-3,#97ff00
UWI283P,lp28-3,lp28-3,#97ff00
XYZ459H,lp28-3,lp28-3,#97ff00
ASM2466215v1,lp25,lp25,#ffa52f
ASM2466219v1,lp25,lp25,#ffa52f
ASM336729v1,lp25,lp25,#ffa52f
ASM4079071v1,lp25,lp25,#ffa52f
ASM4079073v1,lp25,lp25,#ffa52f
ASM4079074v1,lp25,lp25,#ffa52f
ASM4079075v1,lp25,lp25,#ffa52f
ASM4079076v1,lp25,lp25,#ffa52f
ASM4079077v1,lp25,lp25,#ffa52f
ASM4079078v1,lp25,lp25,#ffa52f
ASM4079079v1,lp25,lp25,#ffa52f
B331P,lp25,lp25,#ffa52f
B418P,lp25,lp25,#ffa52f
B500P,lp25,lp25,#ffa52f
ESI361H,lp25,lp25,#ffa52f
ESI403H,lp25,lp25,#ffa52f
ESI425H,lp25,lp25,#ffa52f
PFhe_I_PB_Ill_cons,lp25,lp25,#ffa52f
UCT109H,lp25,lp25,#ffa52f
UCT110H,lp25,lp25,#ffa52f
UCT113H,lp25,lp25,#ffa52f
UCT124H,lp25,lp25,#ffa52f
UCT29H,lp25,lp25,#ffa52f
UCT30H,lp25,lp25,#ffa52f
UCT31H,lp25,lp25,#ffa52f
UCT32H,lp25,lp25,#ffa52f
UCT50H,lp25,lp25,#ffa52f
UCT92H,lp25,lp25,#ffa52f
UCT96H,lp25,lp25,#ffa52f
UNY1032P,lp25,lp25,#ffa52f
UNY1038P,lp25,lp25,#ffa52f
UNY1083P,lp25,lp25,#ffa52f
UNY1085P,lp25,lp25,#ffa52f
UNY1090P,lp25,lp25,#ffa52f
UNY1128P,lp25,lp25,#ffa52f
UNY149P,lp25,lp25,#ffa52f
UNY169P,lp25,lp25,#ffa52f
UNY172P,lp25,lp25,#ffa52f
UNY193P,lp25,lp25,#ffa52f
UNY208P,lp25,lp25,#ffa52f
UNY990P,lp25,lp25,#ffa52f
URI101H,lp25,lp25,#ffa52f
URI102H,lp25,lp25,#ffa52f
URI103H,lp25,lp25,#ffa52f
URI107H,lp25,lp25,#ffa52f
URI111H,lp25,lp25,#ffa52f
URI112H,lp25,lp25,#ffa52f
URI117H,lp25,lp25,#ffa52f
URI120H,lp25,lp25,#ffa52f
URI33H,lp25,lp25,#ffa52f
URI36H,lp25,lp25,#ffa52f
URI39H,lp25,lp25,#ffa52f
URI40H,lp25,lp25,#ffa52f
URI41H,lp25,lp25,#ffa52f
URI42H,lp25,lp25,#ffa52f
URI44H,lp25,lp25,#ffa52f
URI46H,lp25,lp25,#ffa52f
URI47H,lp25,lp25,#ffa52f
URI48H,lp25,lp25,#ffa52f
URI86H,lp25,lp25,#ffa52f
URI87H,lp25,lp25,#ffa52f
URI88H,lp25,lp25,#ffa52f
URI89H,lp25,lp25,#ffa52f
URI91H,lp25,lp25,#ffa52f
URI93H,lp25,lp25,#ffa52f
UWI247P,lp25,lp25,#ffa52f
UWI248P,lp25,lp25,#ffa52f
UWI263P,lp25,lp25,#ffa52f
UWI283P,lp25,lp25,#ffa52f
XYZ459H,lp25,lp25,#ffa52f
ASM1913465v1,cp32-7,cp32-7,#ff8ec8
ASM215148v1,cp32-7,cp32-7,#ff8ec8
ASM215150v1,cp32-7,cp32-7,#ff8ec8
